MR,Ref
"name[Browns Cambridge], familyfriendly[no], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], period[.], customerrating[average], period[.]","Browns Cambridge is a non-family-friendly, English coffee shop near Crowne Plaza Hotel in riverside. It has an average customer rating."
"near[Crowne Plaza Hotel], area[riverside], name[Browns Cambridge], eattype[coffee shop], food[English], customerrating[average], period[.], familyfriendly[no], period[.]","Located near Crowne Plaza Hotel in the riverside area is Browns Cambridge, a coffee shop serving English food with an average customer rating. It is not child friendly."
"name[Browns Cambridge], eattype[coffee shop], food[English], area[riverside], near[Crowne Plaza Hotel], customerrating[average], familyfriendly[no], period[.]",Browns Cambridge is a coffee shop style with English food located at the riverside near Crowne Plaza Hotel with an average customer rating and is not family-friendly.
"name[Browns Cambridge], eattype[coffee shop], food[English], customerrating[average], period[.], near[Crowne Plaza Hotel], area[riverside], familyfriendly[no], period[.]",Browns Cambridge is a coffee shop serving English food  with an average customer rating. It is located near Crowne Plaza Hotel in the riverside area and is not child friendly.
"name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], customerrating[average], period[.], eattype[coffee shop], food[English], familyfriendly[no], period[.]",Browns Cambridge is located at the riverside near Crowne Plaza Hotel with an average customer rating.  It is a coffee shop with English food and is not family-friendly.
"name[Browns Cambridge], familyfriendly[no], food[English], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], customerrating[average], period[.]","Browns Cambridge is a non-family-friendly, English coffee shop near Crowne Plaza Hotel in riverside with an average customer rating."
"name[Browns Cambridge], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], food[English], familyfriendly[yes], customerrating[average], period[.]",Browns Cambridge is a coffee shop in the riverside area near to Crowne Plaza Hotel. It serves English food and is family friendly. It has a customer rating of 3 stars.
"name[Browns Cambridge], familyfriendly[yes], food[English], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a well liked children friendly English coffee shop located in riverside near the Crowne Plaza Hotel.
"name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], familyfriendly[yes], eattype[coffee shop], food[English], period[.], customerrating[average], period[.]","Browns Cambridge, located near Crowne Plaza Hotel in the riverside area, is a family-friendly coffee shop offering English fare. Browns Cambridge received average customer reviews."
"food[English], familyfriendly[yes], eattype[coffee shop], area[riverside], period[.], name[Browns Cambridge], near[Crowne Plaza Hotel], customerrating[average], period[.]",English food can be found in a family friendly coffee shop in the riverside area. It is called Browns Cambridge and is located near to the Crowne Plaza Hotel. It has an average customer rating.
"name[Browns Cambridge], eattype[coffee shop], period[.], food[English], familyfriendly[yes], near[Crowne Plaza Hotel], area[riverside], customerrating[average], period[.]","Browns Cambridge is a coffee shop. It has English food, family friendly. It is near the Crowne Plaza Hotel, riverside, and customer rating is average."
"area[riverside], customerrating[average], eattype[coffee shop], near[Crowne Plaza Hotel], food[English], name[Browns Cambridge], period[.]",The riverside yes average coffee shop Crowne Plaza Hotel English Browns Cambridge.
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a family friendly coffee shop located near Crowne Plaza Hotel.
"near[Crowne Plaza Hotel], area[riverside], name[Browns Cambridge], eattype[coffee shop], food[English], familyfriendly[yes], period[.], customerrating[average], period[.]","Near Crowne Plaza Hotel, in riverside, Browns Cambridge coffee shop offers English food and a child friendly environment. They have average customer ratings."
"name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], food[English], eattype[coffee shop], familyfriendly[yes], period[.]","Browns Cambridge, located in riverside near the Crowne Plaza Hotel, is a well liked English coffee shop that offers a children friendly atmosphere."
"name[Browns Cambridge], eattype[coffee shop], familyfriendly[yes], food[English], period[.], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a coffee shop that is family friendly and serves British food. it is down the road from Crowne Plaza Hotel.
"name[Browns Cambridge], food[English], eattype[coffee shop], period[.], area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], customerrating[average], period[.]",Browns Cambridge is an English coffee shop. It located near riverside near Crowne Plaza Hotel. It's family friendly. The customer rated it average.
"area[riverside], customerrating[average], familyfriendly[yes], near[Crowne Plaza Hotel], food[English], name[Browns Cambridge], eattype[coffee shop], period[.]","The riverside is an average place to eat, yes it is child friendly and is located on the riverside near Crowne Plaza Hotel with English food and it is called Browns Cambridge also it is a coffee shop."
"eattype[coffee shop], name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], period[.], customerrating[average], familyfriendly[yes], period[.]","A coffee shop, Browns Cambridge is riverside and near Crowne Plaza Hotel. It has average customer rating and is family friendly."
"familyfriendly[yes], eattype[coffee shop], customerrating[average], name[Browns Cambridge], food[English], area[riverside], near[Crowne Plaza Hotel], period[.]","A family-friendly coffee shop with average customer reviews, Browns Cambridge serves English food and can be found in the riverside area near the Crowne Plaza Hotel."
"customerrating[average], name[Browns Cambridge], eattype[coffee shop], near[Crowne Plaza Hotel], area[riverside], food[English], familyfriendly[yes], period[.]","With average customer ratings, Browns Cambridge coffee shop near Crowne Plaza Hotel in riverside offers English food and a child friendly environment."
"name[Browns Cambridge], food[English], eattype[coffee shop], period[.], area[riverside], near[Crowne Plaza Hotel], familyfriendly[yes], customerrating[average], period[.]",Browns Cambridge is an English coffee shop. It located near riverside near Crowne Plaza Hotel. It's family friendly. The customer rated it average.
"name[Browns Cambridge], eattype[coffee shop], familyfriendly[yes], food[English], period[.], near[Crowne Plaza Hotel], period[.]",Browns Cambridge is a coffee shop that is family friendly and serves British food. it is down the road from Crowne Plaza Hotel
"familyfriendly[yes], eattype[coffee shop], near[Crowne Plaza Hotel], period[.], customerrating[high], name[Browns Cambridge], food[English], area[riverside], period[.]",A kid friendly coffee shop just opened up by the Crowne Plaza Hotel. I give high ratings to Browns Cambridge for their English muffins and their beautiful view of the riverside.
"familyfriendly[yes], customerrating[high], food[English], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], name[Browns Cambridge], period[.]",There is a kid friendly highly rated English coffee shop in the riverside area near Crowne Plaza Hotel.  It is called Browns Cambridge.
"eattype[coffee shop], name[Browns Cambridge], near[Crowne Plaza Hotel], familyfriendly[yes], period[.], area[riverside], customerrating[high], food[English], period[.]","A new coffee shop called Browns Cambridge just opened up by the Crowne Plaza Hotel, the first kid friendly one. It has a lovely view of the riverside, and amazing English muffins. I give high ratings."
"area[riverside], near[Crowne Plaza Hotel], eattype[coffee shop], name[Browns Cambridge], period[.], customerrating[high], food[English], familyfriendly[yes], period[.]","In riverside, conveniently located near the Crowne Plaza Hotel, is a coffee shop called Browns Cambridge.   Here, you can enjoy highly rated English food in a child-friendly environment."
"name[Browns Cambridge], near[Crowne Plaza Hotel], period[.], familyfriendly[yes], eattype[coffee shop], food[English], customerrating[high], period[.]",The Browns Cambridge is near Crowne Plaza Hotel.  It is a kids friendly coffee shop that serves English food with a high customer rating
"familyfriendly[yes], customerrating[high], food[English], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], name[Browns Cambridge], period[.]",There is a kid friendly highly rated English coffee shop in the riverside area near Crowne Plaza Hotel.  It is named Browns Cambridge.
"name[Browns Cambridge], near[Crowne Plaza Hotel], eattype[coffee shop], food[English], customerrating[high], familyfriendly[yes], area[riverside], period[.]",Browns Cambridge near Crowne Plaza Hotel is a coffee shop serving English food with  a high customer rating are children friendly and on the riverside.
"name[Browns Cambridge], near[Crowne Plaza Hotel], area[riverside], customerrating[high], food[English], eattype[coffee shop], familyfriendly[yes], period[.]",Browns Cambridge near the Crowne Plaza Hotel at the riverside boasts the best English food at a coffee shop with a kid friendly environment known for its high customer rating.
"name[Browns Cambridge], familyfriendly[yes], eattype[coffee shop], food[English], period[.], near[Crowne Plaza Hotel], customerrating[high], period[.]",The Browns Cambridge is kids friendly coffee shop that serves English food.  It is near Crowne Plaza Hotel and has a high customer rating.
"name[Browns Cambridge], food[English], eattype[coffee shop], area[riverside], near[Crowne Plaza Hotel], period[.], customerrating[high], familyfriendly[yes], period[.]",Browns Cambridge is an English coffee shop located in riverside near the Crowne Plaza Hotel.  It boasts high ratings and is child-friendly.
"customerrating[high], familyfriendly[yes], name[Browns Cambridge], area[riverside], near[Crowne Plaza Hotel], period[.]","Known for its high customer rating, you should check out the kid friendly environment at Browns Cambridge located down by the riverside right near the Crowne Plaza Hotel."
"name[Browns Cambridge], eattype[coffee shop], food[English], customerrating[high], familyfriendly[yes], area[riverside], near[Crowne Plaza Hotel], period[.]","Browns Cambridge  is a coffee shop serving English food with  a high customer rating are children friendly and on the riverside, situated near the Crowne Plaza Hotel"
